model,cv_rmse_raw,cv_rmse_rounded,cv_rmse_hundreds,cv_mae_steps,cv_exact_match,cv_within_±1_step,best_params
RandomForestRegressor,207.46722942308494,209.4462819072169,2.094462819072169,1.4686013320647002,0.2668886774500476,0.6251189343482397,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
DecisionTreeRegressor,238.39695517781274,240.06421595703043,2.4006421595703045,1.7307326355851569,0.21455756422454805,0.5666032350142721,"{'max_depth': 10, 'min_samples_leaf': 5}"
LinearRegression,404.1555914136709,403.56994000983684,4.035699400098369,3.0956232159847765,0.0960989533777355,0.291151284490961,
Ridge,404.2980145633246,403.71726595203114,4.037172659520311,3.099904852521408,0.09372026641294005,0.2906755470980019,{'ridge__alpha': 50.0}
Polynomial_deg2,150153110825122.84,198723969.8668484,1987239.698668484,183897.7177164605,0.12178877259752617,0.351569933396765,
Polynomial_deg3,145593349356324.78,1106668032.1350386,11066680.321350386,5705562.707345385,0.10466222645099905,0.2873453853472883,
